source,target,weight,int
BMDRC-ACCSVR02-RAK-D06,BMDRC-AGGRSVR01.bankmayapada.local(JAF1801ARAG),1,Gig 1/0/48
BMDRC-ACCSVR02-RAK-D06,BMDRC-AGGRSVR01.bankmayapada.local(JAF1801ARAG),1,Gig 1/0/47
BMDRC-ACCSVR02-RAK-D06,BMDRC-ACCSVR01-RAK-D07.bankmayapada.loca,1,Fas 0
BMDC-CZ-DMZ-01,BMDC-DIST-MT1.bankmayapada.local,1,Gig 1/0/47
BMDC-EC-RTR-IB,BMDC-MGMT-A3.bankmayapada.local,1,Gig 0
BMDC-CORE-01,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,1,mgmt0
BMDC-CORE-01,BMDC-OTV-01.bankmayapada.local(FXS1943Q3EM),1,Eth1/3
BMDC-CORE-01,BMDC-EGSW-DEV-01.bankmayapada.local,1,Eth1/4
BMDC-CORE-01,BMDC-EGSW-EXT-01.bankmayapada.local,1,Eth1/5
BMDC-CORE-01,BMDC-EGSW-EC-01.bankmayapada.local,1,Eth1/8
BMDC-CORE-01,BMDC-EGSW-EC-01.bankmayapada.local,1,Eth1/9
BMDC-CORE-01,BMDC-EGSW-IC-01.bankmayapada.local,1,Eth1/10
BMDC-CORE-01,BMDC-DIST-MT1.bankmayapada.local,1,Eth1/11
BMDC-CORE-01,BMDC-CORE-02.bankmayapada.local(FXS2136Q11W),1,Eth1/12
BMDC-CORE-01,BMDC-CORE-02.bankmayapada.local(FXS2136Q11W),1,Eth1/13
BMDC-CORE-01,BMDC-EGSW-WAN.bankmayapada.local,1,Eth1/15
BMDC-CORE-01,BMDC-OTV-01.bankmayapada.local(FXS1943Q3EM),1,Eth1/16
SW-MT2-16-01,MT2-LT15-04.bankmayapada.local,1,Gig 1/0/47
BMDC-AGGSVR-01,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,1,mgmt0
BMDC-AGGSVR-01,BMDC-AGGSVR-02.bankmayapada.local(FXS2136Q11W),1,Eth1/18
BMDC-AGGSVR-01,BMDC-AGGSVR-02.bankmayapada.local(FXS2136Q11W),1,Eth1/20
BMDC-AGGSVR-01,BMDC-ACCSVR-N9K-RAKC1(FDO213317J8),1,Eth1/21
BMDC-AGGSVR-01,BMDC-AGGSVR-02.bankmayapada.local(FXS2136Q11W),1,Eth1/22
BMDC-AGGSVR-01,BMDC-AGGSVR-02.bankmayapada.local(FXS2136Q11W),1,Eth1/24
BMDC-AGGSVR-01,BMDC-OTV-01.bankmayapada.local(FXS1943Q3EM),1,Eth1/28
BMDC-AGGSVR-01,SW-RAKC4-15.bankmayapada.local,1,Eth1/30
BMDC-AGGSVR-01,BMDC-OTV-01.bankmayapada.local(FXS1943Q3EM),1,Eth1/35
BMDC-AGGSVR-01,BMDC-ACCSVR-N9K-RAKD1(FDO213317JS),1,Eth1/38
BMDC-AGGSVR-01,BMDC-SW-RAK-D1.bankmayapada.local,1,Eth1/40
BMDC-AGGSVR-01,SW-TORBIFDC-01.bankmayapada.local,1,Eth101/1/1
BMDC-AGGSVR-01,SW-TORBIFDC-01.bankmayapada.local,1,Eth101/1/2
BMDC-AGGSVR-01,SW-TORBIFDC-02.bankmayapada.local,1,Eth101/1/3
BMDC-AGGSVR-01,SW-TORBIFDC-02.bankmayapada.local,1,Eth101/1/4
BMDC-AGGSVR-01,a46c2aebfda4,1,Eth104/1/5
BMDC-ACCSVR-N9K-RAKD1,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,1,mgmt0
BMDC-ACCSVR-N9K-RAKD1,BMDC-AGGSVR-01.bankmayapada.local(FXS1943Q3EM),1,Eth1/49
BMDC-ACCSVR-N9K-RAKD1,BMDC-AGGSVR-02.bankmayapada.local(FXS2136Q11W),1,Eth1/50
BMDRC-CORE01,BMDRC-ACCSVR01-RAK-D07.bankmayapada.loca,1,mgmt0
BMDRC-CORE01,BMDRC-AGGRSVR01.bankmayapada.local(JAF1801ARAG),1,Eth3/2
BMDRC-CORE01,BMDRC-OTV01.bankmayapada.local(JAF1801ARAG),1,Eth3/8
BMDRC-CORE01,BMDRC-EDGE01.bankmayapada.local,1,Eth3/10
BMDRC-CORE01,BMDC-CORE-02.bankmayapada.local(FXS2136Q11W),1,Eth4/1
BMDRC-CORE01,BMDRC-AGGRSVR01.bankmayapada.local(JAF1801ARAG),1,Eth4/2
BMDRC-CORE01,BMDRC-OTV01.bankmayapada.local(JAF1801ARAG),1,Eth4/8
BMDRC-CORE01,BMDRC-EDGE01.bankmayapada.local,1,Eth4/10
BMDC-CORE-02,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,1,mgmt0
BMDC-CORE-02,BMDC-CORE-01.bankmayapada.local(FXS1943Q3EM),1,Eth1/3
BMDC-CORE-02,BMDC-OTV-02.bankmayapada.local(FXS2136Q11W),1,Eth1/5
BMDC-CORE-02,BMDC-OTV-02.bankmayapada.local(FXS2136Q11W),1,Eth1/6
BMDC-CORE-02,BMDC-EGSW-DEV-01.bankmayapada.local,1,Eth1/7
BMDC-CORE-02,BMDRC-CORE01(JAF1801ARAG),1,Eth1/8
BMDC-CORE-02,BMDC-CORE-01.bankmayapada.local(FXS1943Q3EM),1,Eth1/9
BMDC-CORE-02,BMDC-EGSW-IC-01.bankmayapada.local,1,Eth1/10
BMDC-CORE-02,BMDC-EGSW-EC-01.bankmayapada.local,1,Eth1/11
BMDC-CORE-02,BMDC-EGSW-EC-01.bankmayapada.local,1,Eth1/12
BMDC-CORE-02,BMDC-EGSW-EXT-01.bankmayapada.local,1,Eth1/13
BMDC-CORE-02,BMDC-EGSW-WAN.bankmayapada.local,1,Eth1/15
