No,Local Hostname,Local Interface,Local Platform,Remote Hostname,Remote Interface,Remote Platform,Capability
48,BMDRC-EXT-INT-RAK-D7,Fas 0,,BMDRC-ACCSVR01-RAK-D07.bankmayapada.loca,Gig 1/0/43,WS-C2960S,S I
53,BMDRC-SW-EC-DMZ-RAKC6,Fas 0,,BMDRC-ACCSVR01-RAK-D07.bankmayapada.loca,Gig 1/0/36,WS-C2960S,S I
54,BMDRC-SW-EC-OUT,Fas 0,,BMDRC-ACCSVR01-RAK-D07.bankmayapada.loca,Gig 1/0/35,WS-C2960S,S I
78,SW-JTPM,Fas 0,,BMDC-MGMT-A3.bankmayapada.local,Gig 1/0/4,WS-C2960X,S I
90,SW-RAKC4-15,Fas 0,,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,Gig 1/0/6,WS-C2960X,S I
76,MYPD-STARLINK,Fas 0/1/0,0x3,BMDC-SW-EXT-OUT.bankmayapada.local,Gig 1/0/30,WS-C2960X,S I
51,BMDRC-RTRH2H01,Fas 0/1/1,Single,BMDRC-EXT-INT-RAK-D7.bankmayapada.local,Gig 1/0/38,WS-C2960X,S I
76,MYPD-STARLINK,Fas 0/1/1,0x3,BMDC-MGMT-A3.bankmayapada.local,Gig 1/0/14,WS-C2960X,S I
51,BMDRC-RTRH2H01,Fas 0/2/0,Single,BMDRC-EXT-INT-RAK-D7.bankmayapada.local,Gig 1/0/40,WS-C2960X,S I
51,BMDRC-RTRH2H01,Fas 0/3/0,Single,DRC-MAYAPADA-SD-LA,Gig 0/1/0,C8200-1N-,R S I
51,BMDRC-RTRH2H01,Fas 0/3/1,Single,DRC-MAYAPADA-SD-TLK,Gig 0/1/0,C8200-1N-,R S I
15,BMDC-EC-RTR-01,Gig 0,ISR4431/K9,BMDC-MGMT-A3.bankmayapada.local,Gig 1/0/44,WS-C2960X,S I
16,BMDC-EC-RTR-IB,Gig 0,ISR4431/K9,BMDC-MGMT-A3.bankmayapada.local,Gig 1/0/43,WS-C2960X,S I
28,BMDC-P2P-01,Gig 0,ISR4431/K9,BMDC-MGMT-A3.bankmayapada.local,Gig 1/0/46,WS-C2960X,S I
29,BMDC-P2P-02,Gig 0,ISR4431/K9,BMDC-MGMT-A3.bankmayapada.local,Gig 1/0/40,WS-C2960X,S I
31,BMDC-RTRWAN-01,Gig 0,ISR4431/K9,BMDC-MGMT-A3.bankmayapada.local,Gig 1/0/1,WS-C2960X,S I
32,BMDC-RTRWAN-03,Gig 0,ISR4431/K9,BMDC-MGMT-A3.bankmayapada.local,Gig 1/0/2,WS-C2960X,S I
50,BMDRC-RTR-EC-01,Gig 0,ISR4431/K9,BMDRC-ACCSVR01-RAK-D07.bankmayapada.loca,Gig 1/0/34,WS-C2960S,S I
52,BMDRC-RTRWAN01,Gig 0,ISR4431/K9,BMDRC-ACCSVR01-RAK-D07.bankmayapada.loca,Gig 1/0/40,WS-C2960S,S I
71,MYPD-BH-EXT-DIMO,Gig 0,ISR4321/K9,BMDC-MGMT-A3.bankmayapada.local,Gig 1/0/11,WS-C2960X,S I
75,MYPD-SGO,Gig 0,ISR4321/K9,BMDC-MGMT-A3.bankmayapada.local,Gig 1/0/5,WS-C2960X,S I
77,MYPD-TIFHONE,Gig 0,ISR4321/K9,BMDC-MGMT-A3.bankmayapada.local,Gig 1/0/6,WS-C2960X,S I
13,BMDC-DIST-MT1,Gig 0/0,,BMDC-SW-DATACENTER.bankmayapada.local,Gig 1/0/31,WS-C2960S,S I
20,BMDC-EGSW-EC-01,Gig 0/0,,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,Gig 1/0/25,WS-C2960X,S I
21,BMDC-EGSW-EXT-01,Gig 0/0,,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,Gig 1/0/36,WS-C2960X,S I
22,BMDC-EGSW-IC-01,Gig 0/0,Mac,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,Gig 1/0/30,WS-C2960X,S I
23,BMDC-EGSW-WAN,Gig 0/0,Mac,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,Gig 1/0/33,WS-C2960X,S I
47,BMDRC-EDGE01,Gig 0/0,,BMDRC-ACCSVR01-RAK-D07.bankmayapada.loca,Gig 1/0/46,WS-C2960S,S I
51,BMDRC-RTRH2H01,Gig 0/0,Single,BMDRC-EDGE01.bankmayapada.local,Gig 1/0/7,WS-C3850-,R S I
28,BMDC-P2P-01,Gig 0/0/0,ISR4431/K9,BMDC-EGSW-WAN.bankmayapada.local,Gig 1/0/2,WS-C3850-,R S I
29,BMDC-P2P-02,Gig 0/0/0,ISR4431/K9,BMDC-EGSW-WAN.bankmayapada.local,Gig 1/0/5,WS-C3850-,R S I
31,BMDC-RTRWAN-01,Gig 0/0/0,ISR4431/K9,BMDC-EGSW-WAN.bankmayapada.local,Gig 1/0/1,WS-C3850-,R S I
32,BMDC-RTRWAN-03,Gig 0/0/0,ISR4431/K9,BMDC-EGSW-WAN.bankmayapada.local,Gig 1/0/6,WS-C3850-,R S I
52,BMDRC-RTRWAN01,Gig 0/0/0,ISR4431/K9,BMDRC-EDGE01.bankmayapada.local,Gig 1/0/11,WS-C3850-,R S I
28,BMDC-P2P-01,Gig 0/0/1,ISR4431/K9,CORE-MT2.bankmayapada.local,Gig 1/0/1,WS-C3850-,R S I
29,BMDC-P2P-02,Gig 0/0/1,ISR4431/K9,CORE-MT2.bankmayapada.local,Gig 1/0/2,WS-C3850-,R S I
52,BMDRC-RTRWAN01,Gig 0/0/1,ISR4431/K9,BMDRC-EDGE01.bankmayapada.local,Gig 1/0/12,WS-C3850-,R S I
75,MYPD-SGO,Gig 0/0/1,ISR4321/K9,BMDC-P2P-01.bankmayapada.local,Gig 0/0/3,ISR4431/K,R S I
28,BMDC-P2P-01,Gig 0/0/2,ISR4431/K9,MikroTik,br-1465/ether2==>CRT200100277,MikroTik,R
28,BMDC-P2P-01,Gig 0/0/2,ISR4431/K9,CCPL-RTR.bankmayapada.local,Gig 0/1,CISCO2901,R B S
28,BMDC-P2P-01,Gig 0/0/3,ISR4431/K9,MYPD-SGO.bankmayapada.local,Gig 0/0/1,ISR4321/K,R S I
51,BMDRC-RTRH2H01,Gig 0/1,Single,BMDRC-ACCSVR01-RAK-D07.bankmayapada.loca,Gig 1/0/45,WS-C2960S,S I
56,CCPL-RTR,Gig 0/1/0,0x3,CCPL-CORE-SW.bankmayapada.local,Gig 1/0/1,WS-C3850-,R S I
70,MYPD-ARTAJASA,Gig 0/1/0,0x3,BMDC-SW-EXT-OUT.bankmayapada.local,Gig 1/0/34,WS-C2960X,S I
74,MYPD-FINNET,Gig 0/1/0,0x3,BMDC-SW-EXT-OUT.bankmayapada.local,Gig 1/0/32,WS-C2960X,S I
75,MYPD-SGO,Gig 0/1/0,ISR4321/K9,BMDC-SW-EXT-OUT.bankmayapada.local,Gig 1/0/35,WS-C2960X,S I
77,MYPD-TIFHONE,Gig 0/1/0,ISR4321/K9,BMDC-SW-EXT-OUT.bankmayapada.local,Gig 1/0/29,WS-C2960X,S I
71,MYPD-BH-EXT-DIMO,Gig 0/1/1,ISR4321/K9,BMDC-SW-EXT-OUT.bankmayapada.local,Gig 1/0/5,WS-C2960X,S I
51,BMDRC-RTRH2H01,Gig 0/2,Single,BMDRC-EDGE01.bankmayapada.local,Gig 1/0/8,WS-C3850-,R S I
12,BMDC-DEV-DMZ-SW-C4,Gig 1/0/1,,BMDC-DEV-RAKC1,Gig 1/0/47,WS-C2960X,S I
23,BMDC-EGSW-WAN,Gig 1/0/1,Mac,BMDC-RTRWAN-01.bankmayapada.local,Gig 0/0/0,ISR4431/K,R S I
25,BMDC-MGMT-A3,Gig 1/0/1,,BMDC-RTRWAN-01.bankmayapada.local,Gig 0,ISR4431/K,R S I
30,BMDC-RAK-D1-DEV,Gig 1/0/1,,BMDC-DEV-DMZ-SW-C4.bankmayapada.local,Gig 1/0/25,WS-C2960X,S I
48,BMDRC-EXT-INT-RAK-D7,Gig 1/0/1,,BANKMAYA-RT,Gig 0/0/1,ISR4221/K,R S I
55,CCPL-CORE-SW,Gig 1/0/1,,CCPL-RTR.bankmayapada.local,Gig 0/1/0,CISCO2901,R B S
62,CORE-MT2,Gig 1/0/1,,BMDC-P2P-01.bankmayapada.local,Gig 0/0/1,ISR4431/K,R S I
13,BMDC-DIST-MT1,Gig 1/0/10,,BMDC-SW-LT2-NEW.bankmayapada.local,Fas 0,WS-C2960X,S I
36,BMDC-SW-EXT-OUT,Gig 1/0/10,,BMDC-DJP-B.bankmayapada.local,Gig 0/0/0,C8200L-1N,R S I
13,BMDC-DIST-MT1,Gig 1/0/11,,BMDC-ASSW-L3M1-01.bankmayapada.local,Gig 1/0/47,WS-C2960X,S I
25,BMDC-MGMT-A3,Gig 1/0/11,,MYPD-BH-EXT-DIMO.bankmayapada.local,Gig 0,ISR4321/K,R S I
36,BMDC-SW-EXT-OUT,Gig 1/0/11,,ITBACKUP-ALTERRA.bankmayapada.local,Fas 0/1,2801,R S I
47,BMDRC-EDGE01,Gig 1/0/11,,BMDRC-RTRWAN01.bankmayapada.local,Gig 0/0/0,ISR4431/K,R S I
62,CORE-MT2,Gig 1/0/11,,SW-MT2-IT1.bankmayapada.local,Gig 1/0/47,WS-C2960X,S I
13,BMDC-DIST-MT1,Gig 1/0/12,,BMDC-ASSW-L3M1-01.bankmayapada.local,Gig 1/0/48,WS-C2960X,S I
25,BMDC-MGMT-A3,Gig 1/0/12,,BMDC-SW-EXT-OUT.bankmayapada.local,Fas 0,WS-C2960X,S I
33,BMDC-SW-DATACENTER,Gig 1/0/12,,BMDC-SW-ISP-EC.bankmayapada.local,Fas 0,WS-C2960X,S I
47,BMDRC-EDGE01,Gig 1/0/12,,BMDRC-RTRWAN01.bankmayapada.local,Gig 0/0/1,ISR4431/K,R S I
13,BMDC-DIST-MT1,Gig 1/0/13,,BMDC-ASSW-GFM1-01.bankmayapada.local,Gig 1/0/47,WS-C2960X,S I
