source,target,weight,int
BMDRC-ACCSVR01-RAK-D07,BMDRC-RTR-EC-01,1,Gig 1/0/34
BMDC-SW-DATACENTER,BMDC-F5-ISP-OUT,1,Gig 1/0/35
BMDC-SW-EXT-OUT,MYPD-SGO,1,Gig 1/0/35
BMDRC-ACCSVR-RAKC5,SW-TORBIFDRC-02,1,Gig 1/0/35
BMDRC-ACCSVR01-RAK-D07,BMDRC-SW-EC-OUT,1,Gig 1/0/35
BMDC-SW-MGMT-RAK-B1,BMDC-EGSW-EXT-01,1,Gig 1/0/36
BMDRC-ACCSVR-RAKC5,SW-TORBIFDRC-02,1,Gig 1/0/36
BMDRC-ACCSVR01-RAK-D07,BMDRC-SW-EC-DMZ-RAKC6,1,Gig 1/0/36
MT2-LT15-04,SW-MT2-16-01,1,Gig 1/0/36
BMDC-MGMT-A3,BMDC-EGSW-DEV-01,1,Gig 1/0/37
BMDRC-ACCSVR01-RAK-D07,BMDRC-ACCSVR-RAKC5,1,Gig 1/0/37
BMDRC-EXT-INT-RAK-D7,EFT-DRC-MAYAPADA,1,Gig 1/0/37
MT2-LT15-04,MT2-LT16-02,1,Gig 1/0/37
BMDRC-ACCSVR01-RAK-D07,BMDRC-ACCSVR04-RAKC6,1,Gig 1/0/38
BMDRC-EXT-INT-RAK-D7,BMDRC-RTRH2H01,1,Gig 1/0/38
MT2-LT15-04,SW-MT2-16-03,1,Gig 1/0/38
BMDRC-ACCSVR01-RAK-D07,BMDRC-ACCSVR02-RAK-D06,1,Gig 1/0/39
BMDC-DIST-MT1,BMDC-ASSW-L1M1-KANAN,1,Gig 1/0/4
BMDC-MGMT-A3,SW-JTPM,1,Gig 1/0/4
BMDC-RAK-D1-DEV,BMDC-DEV-DMZ-SW-C4,1,Gig 1/0/4
CORE-MT2,SW-MT2-LT9,1,Gig 1/0/4
SW-JTPM,BMDC-SW-EXT-OUT,1,Gig 1/0/4
BMDC-MGMT-A3,BMDC-P2P-02,1,Gig 1/0/40
BMDRC-ACCSVR01-RAK-D07,BMDRC-RTRWAN01,1,Gig 1/0/40
BMDRC-EXT-INT-RAK-D7,BMDRC-RTRH2H01,1,Gig 1/0/40
BMDC-EC-SW-IB-CP,BMDC-SW-MGMT-RAK-B1,1,Gig 1/0/41
BMDC-SW-MGMT-RAK-B1,BMDC-OTV-01,1,Gig 1/0/42
BMDC-SW-MGMT-RAK-B1,BMDC-EDGE-01,1,Gig 1/0/42
BMDC-SW-MGMT-RAK-B1,BMDC-CORE-01,1,Gig 1/0/42
BMDC-SW-MGMT-RAK-B1,BMDC-NX-01-Admin,1,Gig 1/0/42
BMDC-SW-MGMT-RAK-B1,BMDC-AGGSVR-01,1,Gig 1/0/42
BMDC-MGMT-A3,BMDC-EC-RTR-IB,1,Gig 1/0/43
BMDRC-ACCSVR01-RAK-D07,BMDRC-EXT-INT-RAK-D7,1,Gig 1/0/43
BMDC-DEV-DMZ-SW-C4,BMDC-SW-DATACENTER,1,Gig 1/0/44
BMDC-MGMT-A3,BMDC-EC-RTR-01,1,Gig 1/0/44
SW-MT2-IT2,MikroTik,1,Gig 1/0/44
BMDC-MGMT-A3,MYPD-LINKNET-IB,1,Gig 1/0/45
BMDC-SW-DATACENTER,BMDC-SW-LT2-NEW,1,Gig 1/0/45
BMDRC-ACCSVR01-RAK-D07,BMDRC-RTRH2H01,1,Gig 1/0/45
SW-MT2-SVR,MT2-DEV-DMZ1,1,Gig 1/0/45
BMDC-EC-SW-DMZIB-T1,BMDC-SW-MGMT-RAK-B1,1,Gig 1/0/46
BMDC-EC-SW-DMZIB-T2,BMDC-SW-MGMT-RAK-B1,1,Gig 1/0/46
BMDC-MGMT-A3,BMDC-P2P-01,1,Gig 1/0/46
BMDRC-ACCSVR01-RAK-D07,BMDRC-EDGE01,1,Gig 1/0/46
BMDC-ASSW-GFM1-01,BMDC-DIST-MT1,1,Gig 1/0/47
BMDC-ASSW-L3M1-01,BMDC-DIST-MT1,1,Gig 1/0/47
BMDC-CZ-DMZ-01,BMDC-DIST-MT1,1,Gig 1/0/47
BMDC-SW-DATACENTER,BMDC-DIST-MT1,1,Gig 1/0/47
BMDC-SW-MGMT-RAK-B1,BMDC-DIST-MT1,1,Gig 1/0/47
BMDC-SW-RAK-D1,BMDC-AGGSVR-01,1,Gig 1/0/47
BMDRC-ACCSVR-RAKC5,BMDRC-AGGRSVR01,1,Gig 1/0/47
BMDRC-ACCSVR01-RAK-D07,BMDRC-OTV01,1,Gig 1/0/47
BMDRC-ACCSVR01-RAK-D07,BMDRC-AGGRSVR01,1,Gig 1/0/47
BMDRC-ACCSVR01-RAK-D07,BMDRC-N7KADM,1,Gig 1/0/47
BMDRC-ACCSVR01-RAK-D07,BMDRC-CORE01,1,Gig 1/0/47
BMDRC-ACCSVR02-RAK-D06,BMDRC-AGGRSVR01,1,Gig 1/0/47
BMDRC-ACCSVR04-RAKC6,BMDRC-AGGRSVR01,1,Gig 1/0/47
CCPL-SW-01,CCPL-CORE-SW,1,Gig 1/0/47
CCPL-SW-02,CCPL-CORE-SW,1,Gig 1/0/47
CCPL-SW-03,CCPL-CORE-SW,1,Gig 1/0/47
CCPL-SW-05,CCPL-CORE-SW,1,Gig 1/0/47
SW-MT2-16-01,MT2-LT15-04,1,Gig 1/0/47
SW-MT2-16-03,MT2-LT15-04,1,Gig 1/0/47
SW-MT2-21-04,CORE-MT2,1,Gig 1/0/47
SW-MT2-AUDIT2,SW-MT2-HRD,1,Gig 1/0/47
SW-MT2-HRD,SW-MT2-AUDIT2,1,Gig 1/0/47
SW-MT2-IT1,CORE-MT2,1,Gig 1/0/47
SW-RAKC4-15,BMDC-AGGSVR-01,1,Gig 1/0/47
BMDC-ASSW-GFM1-01,BMDC-DIST-MT1,1,Gig 1/0/48
BMDC-ASSW-L3M1-01,BMDC-DIST-MT1,1,Gig 1/0/48
BMDC-MGMT-A3,BMDC-DIST-MT1,1,Gig 1/0/48
BMDC-SW-DATACENTER,BMDC-DIST-MT1,1,Gig 1/0/48
BMDC-SW-MGMT-RAK-B1,BMDC-DIST-MT1,1,Gig 1/0/48
BMDRC-ACCSVR-RAKC5,BMDRC-AGGRSVR01,1,Gig 1/0/48
BMDRC-ACCSVR02-RAK-D06,BMDRC-AGGRSVR01,1,Gig 1/0/48
BMDRC-ACCSVR04-RAKC6,BMDRC-AGGRSVR01,1,Gig 1/0/48
CCPL-SW-01,CCPL-CORE-SW,1,Gig 1/0/48
CCPL-SW-02,CCPL-CORE-SW,1,Gig 1/0/48
CCPL-SW-03,CCPL-CORE-SW,1,Gig 1/0/48
CCPL-SW-04,CCPL-CORE-SW,1,Gig 1/0/48
CCPL-SW-05,CCPL-CORE-SW,1,Gig 1/0/48
MT2-LT10-SW-01,CORE-MT2,1,Gig 1/0/48
MT2-LT10-SW-02,CORE-MT2,1,Gig 1/0/48
MT2-LT10-SW-03,CORE-MT2,1,Gig 1/0/48
MT2-LT10-SW-04,CORE-MT2,1,Gig 1/0/48
MT2-LT10-SW-05,CORE-MT2,1,Gig 1/0/48
MT2-LT10-SW-06,CORE-MT2,1,Gig 1/0/48
MT2-LT15-04,CORE-MT2,1,Gig 1/0/48
SW-MT2-AUDIT1,CORE-MT2,1,Gig 1/0/48
SW-MT2-AUDIT2,CORE-MT2,1,Gig 1/0/48
SW-MT2-HRD,CORE-MT2,1,Gig 1/0/48
SW-MT2-IT2,CORE-MT2,1,Gig 1/0/48
